"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11492","should verify page title and logout successfully","chromium","2026-06-18","passed","2026-06-18","Verify logged in page title and logout","Assignment_4pagetitleexpandlogin.spec.ts","",""
"","8466","Login and save expand authentication state","setup","2026-06-18","passed","2026-06-18","","auth.setup.ts","",""
